Concept,Evaluation_mean,Evaluation_std,Potency_mean,Potency_std,Activity_mean,Activity_std
browser,2.041666666666666,1.2776660579179349,1.427777777777778,1.8609452662425667,1.3638888888888894,1.6806336070029226
bug,-0.21842105263157896,2.3631886646689773,0.6526315789473687,2.326250296768019,0.8657894736842104,2.1827404691530945
build,1.9714285714285718,1.2456946263193143,1.9485714285714286,1.520596016336344,1.9199999999999997,1.5186083855199237
builder,1.955,1.338646704698443,1.7799999999999998,1.4993665329064805,1.8525000000000005,1.816313230145065
byte,1.090697674418605,1.843633161499499,0.7069767441860465,1.9534579178135547,0.7604651162790699,2.10593177023287
cache,1.3361111111111112,1.538605569587421,1.2611111111111117,1.6073231331381341,1.1527777777777777,1.7452293881561676
capable,2.0500000000000003,1.4833727572131372,1.9789473684210523,1.440240823198976,1.5000000000000002,1.866885952032083
catch statement,1.171875,1.5534707864568937,1.2031250000000002,1.4708595223116991,0.31875000000000003,1.6696626717693608
cause of a problem,-1.2322580645161292,1.6217050160892876,0.4225806451612902,1.934026332912658,0.1451612903225806,2.1006663627367907
celebrity,0.9139534883720928,1.9248172846356137,1.2116279069767446,1.8017058199236584,1.6255813953488374,1.5982683977610814
certain,2.2749999999999995,1.5281388462222054,1.8611111111111116,1.804204622815177,1.4194444444444445,1.9622576912611607
challenger,1.5536585365853663,1.322801454595808,1.353658536585366,1.8353038641180481,1.6219512195121952,1.6296808299101273
change,1.8888888888888893,1.1763355950147751,1.6916666666666669,1.4928300863349007,1.011111111111111,1.6813978605410733
check,1.8999999999999997,1.3653609509268199,1.4315789473684215,1.5542988372080386,1.4605263157894737,1.503249020531373
clarify,1.516279069767442,1.670528426709838,1.027906976744186,1.6755874473366812,1.293023255813954,1.6801709975042767
class,1.4342857142857144,1.3390706493989153,1.551428571428572,1.304798053027239,0.8285714285714286,1.5483763714792027
clean,2.04516129032258,1.8683853145598341,2.0193548387096776,1.7530469980337937,1.77741935483871,1.8303374759192423
clean up,1.680555555555556,2.0469244469100527,1.4555555555555555,2.0275113980285786,1.0638888888888887,2.1158335339080616
clear,1.3314285714285714,1.4828103488350237,1.4771428571428573,1.239835407114466,0.46285714285714286,1.244894881227376
clone,0.4906249999999999,2.038743389780823,0.475,2.123381736758607,0.3125,2.0820287582067643
close,1.0935483870967742,1.5336937247074711,0.8193548387096776,1.4958910075094223,1.0419354838709678,1.6303124959796347
code,1.2769230769230768,1.8536812353498022,1.2923076923076924,1.866627922956619,1.3923076923076925,1.6912117663553483
coder,1.5894736842105264,1.7558607836080693,1.3605263157894736,1.6631516488890048,1.4,1.8627936010197157
collaborator,1.7138888888888895,1.2797900821310453,1.7222222222222228,1.4073440531549553,1.338888888888889,1.5716724598298637
combine,1.4228571428571428,1.4150387605565973,1.225714285714286,1.7113641771811094,0.862857142857143,1.4876800182615526
command,1.9780487804878046,1.0924379080690663,1.7536585365853656,1.4723628862371498,1.8170731707317074,1.2115103331498955
comment,1.2025641025641025,1.9232034146433887,1.4717948717948721,1.665478866680186,0.9102564102564102,1.892467507670109
commit,1.9536585365853658,1.3704365622704373,1.5390243902439023,1.7650921414186285,1.5097560975609756,1.4749625672056703
committed,2.1156250000000005,1.4118050004781113,1.83125,1.6838270212524802,1.2937500000000002,1.8469463818692735
compare,1.241666666666667,1.6274340744456184,0.8861111111111113,1.6951159871455825,0.8944444444444445,1.635363439803799
compatible,2.1974358974358976,1.2480728075999206,1.8999999999999995,1.442576043411799,1.417948717948718,1.9199187743064168
compete with,1.713157894736842,1.5693060908083543,1.763157894736842,1.569012604798515,1.492105263157895,1.7133195816658573
competent,1.8903225806451611,1.8958962198883378,1.9258064516129034,1.5821520138081189,1.4225806451612906,1.6007477441091555
competitor,1.4342105263157894,2.022540913097274,1.8736842105263154,1.4091214527846991,1.3052631578947367,1.7861966898856487
compile,1.5888888888888892,1.2648622625447707,1.4194444444444447,1.3892082966056691,1.0861111111111112,1.5855515650498722
compiler,1.3971428571428572,1.597227189186795,1.36,1.826659714967655,1.6114285714285712,1.7394204993242397
complain to,-0.16000000000000003,1.983676240864781,-0.16571428571428576,1.6698918454529335,0.8285714285714287,1.9167787604015574
complex,0.8829268292682928,1.7995802273436003,1.182926829268293,1.7422864762655283,0.873170731707317,1.7740712981305697
complicated,-0.10571428571428569,1.9941260681085848,0.4942857142857142,1.963661719069447,0.9457142857142857,1.7463992109714297
component,1.3333333333333333,1.2013880860626733,1.2500000000000007,1.5856123948388732,0.7722222222222223,1.6712621828877168
composer,1.4818181818181815,1.620644193925917,1.1704545454545459,1.6751634310302852,1.3840909090909093,1.6825228867575055
compute,1.5999999999999996,1.873920742018835,1.915789473684211,1.232995137180293,1.3432432432432433,1.6113684868124312
concept,1.8421052631578951,1.339212568903511,1.5052631578947366,1.6176570725688846,1.2947368421052632,1.8384700974367179
concerned,0.45882352941176474,1.6822809527995761,0.24999999999999994,1.4625219958124713,0.14705882352941177,1.7931627159718542
config,1.0046511627906978,1.705661365062271,1.23953488372093,1.724129646946772,1.2372093023255815,1.5880400756196085
configure,1.5534883720930235,1.6992951804586245,1.7116279069767444,1.182077261537695,1.311627906976745,1.648707640790991
conflict (in code),0.18055555555555552,2.5750749120111314,1.1611111111111108,2.112433796172054,1.1277777777777775,2.1986878803190164
confusing,-0.7166666666666665,1.9392868104881584,-0.3305555555555556,1.889270794725433,0.02222222222222219,2.0214284156274673
connect,2.366666666666667,1.4210715831528138,1.6861111111111111,1.8339624341508587,1.9861111111111116,1.4489752658301849
consider,1.7937500000000002,1.3831434985206705,1.1343749999999997,1.5649699228339822,0.3624999999999999,1.92966156359088
consistent,2.1157894736842104,1.422659909759379,1.9368421052631581,1.4408369374542043,1.6999999999999995,1.6646479001815813
constant,1.3375000000000001,1.7027092382435705,1.3031249999999999,1.561946777062202,0.12499999999999999,1.93180614969515
constraint,-0.22580645161290322,2.0832616706370497,0.20645161290322575,2.081707655697053,-0.40322580645161293,2.148890767269618
constructor,1.3058823529411765,1.3792455688166434,1.5882352941176467,1.6260317459245146,1.1999999999999997,1.5159931708677474
contain,1.0935483870967748,1.7193276037303105,1.0161290322580647,1.7029569680304841,0.964516129032258,1.6816943044473995
continue statement,1.2282051282051283,1.6506329350063107,1.1897435897435897,1.7105696864502473,1.5282051282051285,1.694023993707218
contribute,1.6857142857142855,1.898742870900617,1.4342857142857142,1.860559494521221,1.4114285714285715,1.6443446681748637
contributor,2.272222222222223,1.480730133547319,1.8444444444444446,1.8053076752922577,1.6749999999999998,1.5843636998282098
controversial,0.04883720930232555,2.2493794589271445,0.6209302325581395,2.0855603384618395,0.844186046511628,1.9585593098085792
convert,0.882051282051282,1.7914142522072267,1.207692307692307,1.5758407793097944,1.1410256410256407,1.8304711385558985
convinced,1.535897435897436,1.8480047701524596,1.8871794871794871,1.5231848360285858,1.453846153846154,1.6746750398665033
copy,0.5682926829268293,1.6463468834599129,0.44390243902439014,1.6388646844375194,0.9048780487804878,1.4342417423055998
copyright,1.3146341463414635,1.7985849418307631,1.2,1.7129350079508021,0.8439024390243904,1.8330367686873892
core,1.4780487804878046,1.4338269098383396,1.2853658536585368,1.6185752505709634,1.0536585365853657,1.9403416295849287
correct,2.5027777777777773,1.5161145718783025,1.9694444444444446,1.937469633374137,1.5222222222222224,1.7915094676946328
count variable,0.8861111111111114,1.6143717005864298,0.8055555555555558,1.7863594954301838,0.6555555555555556,1.7946594298461764
crash report,0.8000000000000002,2.1029080394116675,1.3638888888888892,1.913280019259796,1.188888888888889,1.6244277244921563
create,2.2277777777777774,1.6332671944281074,2.1888888888888887,1.5005143151188338,2.1222222222222222,1.6382767218281382
dangerous,-1.3903225806451613,1.8330927222046876,0.5258064516129033,2.22246125434284,0.39677419354838717,2.3068598781457323
data,1.8236842105263158,1.444305371291046,1.7684210526315787,1.4462483704504112,1.3736842105263158,1.7743322258374923
data type,1.2488372093023257,1.5625518920533978,1.33953488372093,1.467974325686982,1.302325581395349,1.264449208538445
database,1.933333333333334,1.6181264886693294,1.75,1.6826731378639432,1.0388888888888888,2.051595284132946
debug,1.2638888888888893,1.8425756094508605,1.3694444444444445,1.737306255296215,0.1888888888888889,1.925671279461583
decide,1.7631578947368425,1.4484876055701357,1.6684210526315788,1.5617306970419398,1.1710526315789473,1.7353761756213342
declare,1.0023255813953489,1.3177656163286966,1.4697674418604652,1.3870723533250067,1.2883720930232558,1.581169614531874
default,0.46875,1.970951150460102,0.46875,1.8230190447441847,0.12500000000000006,1.7615689029952815
define,2.163888888888889,1.2912424631979202,1.7166666666666668,1.588937450695345,1.6361111111111113,1.4308413953913384
delegate to,1.4472222222222222,1.5345079035876092,1.4444444444444446,1.5938152068480984,1.4583333333333333,1.65182979349165
delete,-0.58125,1.9454172913542225,0.528125,2.2648446932129804,0.2875,2.2238409902688634
depend on,0.4258064516129033,2.0552007580981986,0.4161290322580645,2.1536311084056647,0.39677419354838694,2.1763366483786375
dependency,0.45483870967741935,2.0938987728062752,0.6258064516129032,2.196179636276843,0.49032258064516127,1.926279187668536
describe,1.742857142857143,1.1984002942698746,1.3085714285714287,1.374745987669084,0.9771428571428572,1.5573027440850076
design,1.5342105263157897,1.6683235070272562,1.6710526315789476,1.3333590140647835,1.5342105263157892,1.7276811833981824
determine,2.0414634146341464,1.4749907994349012,1.6097560975609757,1.7330087861019983,1.697560975609756,1.567114453285595
developer,1.8781250000000005,1.2873748422176814,1.603125,1.659910459746248,1.2,1.8386476008196893
different,1.1294117647058828,1.4890836921457882,1.0911764705882356,1.4196867191823828,0.7117647058823529,1.316806454553715
difficult,-0.36666666666666675,2.147429391494163,0.5435897435897435,1.9523549057083667,0.28205128205128205,2.0271075509235263
direct,1.809756097560976,1.4853438261813372,1.6292682926829272,1.5473413709530741,1.9731707317073173,1.1470055160187824
directory,1.3628571428571428,1.376140714209896,1.3771428571428574,1.346335919510159,0.7114285714285717,1.718765575068577
disable,-0.8428571428571429,1.949107592762202,-0.6685714285714285,2.2783166001704513,-0.5714285714285713,2.0530912482082693
